round_epochs,loss,acc,val_loss,val_acc,lr,optimizer,activation,dropout,regularization,loss_functions,layers,layer_size,batch_size
11,0.36670185027176155,0.8272222,0.5007383539728898,0.7937063,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,1,300,4
15,0.374189074145423,0.82577777,0.5069212039450666,0.7951049,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,3,300,64
11,0.3803426224456133,0.82666665,0.4878553917774787,0.7951049,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,3,300,4
11,0.36774008989334106,0.8277778,0.5042421959496878,0.7902098,0.001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,64
18,0.3673341203247352,0.8287778,0.5022896409497134,0.7965035,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84cf7a6198>,categorical_crossentropy,1,100,4
13,0.37284079398049247,0.8231111,0.49837459534198253,0.78811187,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,64
11,0.3772372487743948,0.8244445,0.49251148008930307,0.793007,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,1,100,4
11,0.3692651204839349,0.8258889,0.5037766825789349,0.7916084,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,None,categorical_crossentropy,1,100,4
11,0.3778492917777492,0.8245556,0.5176116017299098,0.7916084,0.01,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.2,<tensorflow.python.keras.regularizers.L1L2 object at 0x7f84e281ffd0>,categorical_crossentropy,1,100,4
11,0.3676378938204337,0.82666665,0.49300180244279074,0.7951049,0.0001,<class 'tensorflow.python.keras.optimizers.Adam'>,<function relu at 0x7f85007dbbf8>,0.5,None,categorical_crossentropy,1,300,4
